Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
6,8,0,3,5,yes,yes,yes,information security,web technologies,yes,yes,medium,excellent,parallel computing,testing,higherstudies,Service Based,yes,no,History,salary,no,gentle,Technical,salary,hard worker,no,no,Computer Science
5,1,3,2,2,yes,no,no,shell programming,hacking,yes,yes,medium,medium,cloud computing,security,higherstudies,product development,yes,no,Health,Work,yes,stubborn,Management,work,smart worker,no,yes,Information Technology
10,5,4,1,9,yes,no,yes,distro making,game development,no,yes,excellent,poor,IOT,security,job,Cloud Services,no,no,Poetry,salary,no,gentle,Technical,work,smart worker,yes,no,Management
12,1,5,8,8,no,yes,no,distro making,web technologies,no,no,medium,medium,hacking,Business process analyst,job,Service Based,no,no,Science,Work,no,gentle,Management,work,hard worker,yes,no,Computer Science
9,4,1,8,9,no,yes,no,hadoop,cloud computing,yes,yes,medium,poor,Computer Architecture,system developer,job,SAaS services,yes,yes,Diaries,salary,yes,stubborn,Technical,salary,hard worker,yes,yes,Information Technology
8,4,3,8,8,yes,yes,no,hadoop,game development,no,no,medium,excellent,networks,cloud computing,job,Finance,yes,no,Prayer books,salary,yes,stubborn,Technical,work,smart worker,no,yes,Database
12,6,5,5,7,no,yes,yes,r programming,data science,no,no,poor,medium,programming,testing,job,Sales and Marketing,yes,yes,Science fiction,salary,no,stubborn,Technical,work,hard worker,no,yes,Management
5,7,5,7,5,no,yes,no,hadoop,web technologies,yes,no,medium,poor,Computer Architecture,security,higherstudies,Testing and Maintainance Services,yes,no,Fantasy,Work,no,gentle,Technical,salary,hard worker,no,no,Database
6,4,0,2,2,no,no,yes,python,data science,yes,yes,medium,excellent,networks,developer,job,Product based,no,no,Self help,salary,no,stubborn,Management,work,smart worker,yes,yes,Analytics
5,2,4,8,1,yes,yes,yes,full stack,data science,no,yes,medium,medium,data engineering,security,higherstudies,Cloud Services,yes,yes,Health,Work,no,stubborn,Management,salary,hard worker,no,no,Management
6,5,5,5,1,yes,yes,yes,information security,cloud computing,no,yes,medium,poor,Computer Architecture,security,higherstudies,product development,no,yes,Journals,salary,no,stubborn,Technical,work,smart worker,yes,no,Computer Science
7,5,3,6,5,yes,yes,no,python,database security,yes,no,medium,poor,Management,security,higherstudies,Cloud Services,no,no,Comics,salary,yes,stubborn,Management,work,hard worker,yes,no,Networking
8,7,2,3,8,no,yes,no,distro making,web technologies,no,no,poor,poor,networks,system developer,higherstudies,product development,yes,no,Comics,salary,no,gentle,Technical,work,smart worker,no,no,Information Technology
12,2,5,4,9,yes,no,yes,full stack,database security,no,no,poor,poor,parallel computing,security,higherstudies,SAaS services,yes,yes,Autobiographies,Work,no,gentle,Technical,work,hard worker,yes,yes,Management
9,5,3,5,4,no,yes,no,python,hacking,no,no,poor,poor,cloud computing,security,higherstudies,Product based,yes,no,Trilogy,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Design
11,3,1,1,8,no,yes,no,python,system designing,no,yes,medium,medium,Management,security,job,BPA,yes,no,Drama,Work,no,stubborn,Management,salary,hard worker,no,no,Management
11,2,6,5,1,yes,no,no,distro making,game development,no,no,poor,poor,hacking,system developer,higherstudies,Finance,yes,yes,Guide,Work,no,gentle,Management,work,hard worker,no,yes,Computer Science
5,5,4,7,7,no,no,no,hadoop,database security,yes,yes,medium,excellent,data engineering,developer,job,Service Based,no,yes,Trilogy,Work,yes,gentle,Management,work,smart worker,no,yes,Database
10,8,5,9,4,yes,yes,yes,app development,data science,yes,yes,medium,excellent,data engineering,developer,higherstudies,Service Based,yes,yes,Cookbooks,Work,no,stubborn,Management,salary,smart worker,no,no,Networking
9,8,4,7,3,no,yes,yes,information security,system designing,yes,yes,poor,excellent,Computer Scienceing,testing,higherstudies,Finance,yes,yes,Drama,Work,yes,stubborn,Management,work,smart worker,yes,no,Design
5,8,6,4,5,no,yes,yes,shell programming,system designing,no,yes,medium,excellent,cloud computing,developer,higherstudies,Sales and Marketing,no,yes,Comics,salary,no,gentle,Technical,salary,smart worker,no,yes,Computer Science
5,9,0,5,3,yes,no,no,app development,web technologies,yes,yes,medium,poor,programming,system developer,job,BPA,yes,no,Guide,salary,no,gentle,Management,work,hard worker,yes,yes,Computer Science
10,8,2,6,2,no,no,yes,app development,web technologies,yes,yes,medium,medium,Computer Architecture,developer,higherstudies,product development,no,yes,Romance,salary,no,gentle,Management,work,hard worker,yes,yes,Networking
11,6,3,2,8,yes,yes,yes,python,web technologies,yes,no,medium,excellent,networks,developer,higherstudies,Service Based,no,yes,Biographies,Work,yes,stubborn,Management,salary,smart worker,yes,yes,Database
7,7,6,8,5,no,yes,yes,full stack,database security,yes,no,poor,excellent,cloud computing,Business process analyst,higherstudies,Product based,no,yes,Health,Work,no,gentle,Management,work,smart worker,no,no,Analytics
9,1,2,5,5,no,yes,yes,shell programming,system designing,yes,no,medium,excellent,networks,testing,higherstudies,Service Based,yes,yes,Dictionaries,salary,yes,stubborn,Management,work,hard worker,yes,no,Analytics
4,6,4,9,2,no,yes,no,full stack,game development,yes,yes,excellent,poor,parallel computing,Business process analyst,job,Service Based,yes,no,Encyclopedias,Work,no,stubborn,Management,salary,hard worker,yes,no,Networking
11,8,3,1,9,no,yes,yes,r programming,testing,yes,no,excellent,medium,Computer Scienceing,Business process analyst,higherstudies,Web Services,no,no,Encyclopedias,Work,yes,stubborn,Management,work,smart worker,no,no,Analytics
10,3,4,8,9,no,yes,no,hadoop,hacking,yes,no,excellent,excellent,programming,testing,job,Web Services,yes,no,Prayer books,salary,yes,stubborn,Management,salary,smart worker,yes,no,Analytics
12,5,6,1,6,yes,yes,yes,hadoop,testing,no,yes,excellent,medium,Computer Scienceing,system developer,job,Finance,no,yes,Poetry,salary,no,gentle,Management,work,hard worker,no,no,Management
7,4,0,6,7,no,no,no,hadoop,testing,yes,yes,poor,medium,IOT,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Fantasy,salary,yes,stubborn,Technical,work,smart worker,no,no,Analytics
11,5,1,4,9,no,yes,yes,r programming,testing,no,no,poor,excellent,parallel computing,system developer,higherstudies,Web Services,no,yes,Satire,salary,no,gentle,Technical,work,hard worker,no,no,Computer Science
10,3,5,5,2,no,yes,yes,machine learning,data science,no,yes,medium,excellent,programming,developer,job,Sales and Marketing,no,yes,Fantasy,salary,no,gentle,Technical,salary,smart worker,no,yes,Computer Science
12,6,4,4,8,yes,no,no,shell programming,data science,no,no,excellent,excellent,Computer Scienceing,developer,higherstudies,Finance,yes,no,Math,Work,no,gentle,Management,salary,smart worker,yes,yes,Analytics
10,6,4,8,9,no,yes,yes,distro making,game development,yes,no,excellent,medium,hacking,Business process analyst,job,Product based,yes,yes,Science,salary,no,gentle,Technical,salary,smart worker,no,yes,Computer Science
11,4,2,8,7,yes,no,no,distro making,game development,yes,no,excellent,excellent,programming,testing,job,product development,yes,yes,Health,salary,no,gentle,Technical,salary,hard worker,no,yes,Design
8,6,4,2,9,no,no,no,machine learning,web technologies,yes,yes,poor,poor,IOT,cloud computing,job,Finance,yes,yes,Self help,Work,no,stubborn,Technical,work,hard worker,no,no,Database
5,1,6,3,3,yes,yes,no,app development,data science,yes,no,excellent,medium,data engineering,testing,higherstudies,BPA,no,yes,Diaries,salary,yes,stubborn,Management,salary,smart worker,no,yes,Management
10,2,6,6,9,no,yes,no,machine learning,web technologies,yes,yes,poor,excellent,networks,cloud computing,higherstudies,Testing and Maintainance Services,no,no,Horror,Work,yes,gentle,Management,work,smart worker,no,yes,Information Technology
5,7,6,7,3,yes,yes,yes,python,game development,yes,yes,poor,medium,hacking,system developer,higherstudies,Sales and Marketing,no,yes,Poetry,Work,yes,stubborn,Management,salary,hard worker,yes,no,Management
6,9,3,5,3,yes,no,yes,app development,system designing,yes,yes,medium,excellent,Management,cloud computing,job,Web Services,yes,yes,Health,Work,yes,gentle,Management,work,hard worker,yes,no,Design
5,3,2,2,9,no,yes,yes,information security,system designing,no,no,excellent,poor,data engineering,testing,higherstudies,product development,yes,yes,Cookbooks,salary,yes,gentle,Management,work,hard worker,no,yes,Computer Science
4,5,3,8,4,yes,no,no,machine learning,system designing,yes,yes,poor,poor,hacking,developer,job,Web Services,no,yes,Travel,Work,no,stubborn,Technical,work,hard worker,yes,no,Analytics
11,5,0,3,8,no,yes,yes,app development,game development,yes,no,poor,medium,parallel computing,security,higherstudies,SAaS services,no,yes,Anthology,Work,no,gentle,Technical,salary,hard worker,no,no,Database
6,6,5,6,1,yes,no,no,full stack,testing,yes,no,poor,excellent,Management,system developer,job,product development,no,no,Art,salary,yes,stubborn,Management,work,smart worker,yes,no,Networking
11,4,1,5,4,no,no,no,full stack,cloud computing,no,yes,poor,poor,programming,system developer,higherstudies,Product based,yes,yes,Romance,salary,no,gentle,Management,salary,hard worker,yes,yes,Networking
12,8,5,1,3,no,no,no,shell programming,game development,no,yes,poor,excellent,hacking,cloud computing,job,product development,no,no,Biographies,Work,no,gentle,Management,salary,hard worker,yes,yes,Management
7,6,1,8,6,yes,no,yes,information security,system designing,yes,yes,poor,medium,hacking,developer,higherstudies,Web Services,no,no,History,salary,yes,stubborn,Technical,work,smart worker,no,yes,Analytics
7,4,4,1,5,yes,no,yes,distro making,system designing,no,no,poor,poor,data engineering,testing,job,Sales and Marketing,no,no,Math,Work,no,stubborn,Management,salary,smart worker,yes,no,Computer Science
12,3,0,3,2,yes,no,no,full stack,web technologies,no,yes,excellent,medium,data engineering,testing,job,BPA,yes,no,Fantasy,salary,yes,gentle,Management,work,hard worker,no,no,Management
6,8,0,4,8,yes,yes,yes,distro making,web technologies,no,yes,poor,excellent,data engineering,testing,job,Sales and Marketing,yes,no,Horror,salary,yes,stubborn,Management,work,smart worker,yes,yes,Computer Science
8,5,0,1,2,yes,yes,no,app development,cloud computing,no,yes,medium,excellent,IOT,testing,higherstudies,Cloud Services,no,no,Health,Work,no,stubborn,Technical,salary,smart worker,no,no,Computer Science
10,5,3,5,7,yes,yes,yes,machine learning,web technologies,yes,yes,medium,excellent,Management,Business process analyst,higherstudies,Service Based,no,yes,Encyclopedias,Work,yes,gentle,Management,work,smart worker,no,no,Information Technology
10,2,3,9,4,yes,no,yes,r programming,game development,yes,yes,excellent,excellent,parallel computing,testing,higherstudies,product development,no,no,Anthology,Work,no,gentle,Technical,work,smart worker,yes,no,Information Technology
10,7,0,6,7,yes,no,yes,information security,hacking,yes,yes,poor,medium,networks,testing,job,Finance,no,yes,Health,Work,yes,gentle,Management,work,smart worker,no,no,Computer Science
5,2,5,7,7,no,no,no,full stack,data science,yes,yes,medium,excellent,networks,system developer,higherstudies,product development,yes,no,Childrens,salary,no,stubborn,Management,work,hard worker,no,no,Database
6,4,5,2,8,yes,yes,yes,hadoop,system designing,yes,yes,medium,excellent,hacking,Business process analyst,job,Web Services,yes,yes,Diaries,Work,no,gentle,Technical,salary,hard worker,no,yes,Analytics
5,9,2,8,8,yes,no,no,hadoop,hacking,yes,no,poor,poor,programming,security,higherstudies,Web Services,no,no,Prayer books,Work,yes,stubborn,Technical,work,hard worker,yes,no,Computer Science
10,1,6,1,8,yes,no,no,shell programming,testing,yes,no,medium,poor,cloud computing,testing,higherstudies,Finance,yes,yes,Guide,Work,yes,gentle,Management,work,smart worker,yes,no,Management
8,8,5,5,7,no,no,yes,python,hacking,no,yes,excellent,excellent,programming,security,higherstudies,BPA,no,no,Prayer books,salary,yes,stubborn,Technical,work,hard worker,no,no,Design
11,8,2,9,5,no,yes,no,machine learning,cloud computing,yes,no,excellent,poor,IOT,security,job,Product based,yes,yes,Health,salary,no,stubborn,Management,salary,hard worker,yes,no,Information Technology
10,3,0,5,4,no,yes,yes,r programming,testing,yes,yes,medium,excellent,parallel computing,system developer,job,Sales and Marketing,no,yes,Encyclopedias,salary,yes,stubborn,Technical,work,hard worker,no,yes,Analytics
12,9,5,6,2,no,yes,no,distro making,system designing,no,no,excellent,poor,networks,testing,job,BPA,yes,no,Travel,salary,no,gentle,Technical,work,smart worker,no,yes,Management
4,6,5,5,5,no,yes,no,r programming,game development,yes,no,medium,poor,hacking,security,higherstudies,Product based,yes,no,Comics,salary,no,stubborn,Management,salary,smart worker,yes,yes,Computer Science
5,8,3,4,6,no,no,yes,machine learning,hacking,no,yes,excellent,poor,IOT,Business process analyst,higherstudies,Product based,no,no,Self help,salary,yes,gentle,Technical,salary,hard worker,yes,no,Computer Science
12,9,6,8,6,no,no,no,distro making,cloud computing,no,no,medium,medium,programming,developer,higherstudies,BPA,no,no,Comics,Work,yes,gentle,Management,salary,hard worker,no,yes,Computer Science
4,1,2,4,4,yes,no,no,python,database security,yes,yes,poor,excellent,parallel computing,testing,job,BPA,no,yes,Journals,Work,yes,stubborn,Technical,work,hard worker,yes,yes,Information Technology
4,2,0,7,6,yes,no,no,r programming,web technologies,yes,yes,medium,excellent,networks,system developer,job,Finance,no,no,Prayer books,Work,yes,stubborn,Management,salary,hard worker,no,no,Information Technology
9,3,1,6,2,yes,yes,yes,shell programming,web technologies,yes,no,medium,excellent,cloud computing,Business process analyst,higherstudies,Cloud Services,yes,yes,Satire,Work,no,gentle,Management,salary,hard worker,no,yes,Networking
10,4,5,7,1,no,yes,no,r programming,cloud computing,yes,no,excellent,excellent,parallel computing,system developer,job,Testing and Maintainance Services,no,yes,Series,salary,no,stubborn,Technical,work,smart worker,yes,no,Database
12,1,1,2,9,no,no,yes,hadoop,testing,yes,yes,poor,medium,networks,testing,job,BPA,yes,yes,Horror,salary,yes,stubborn,Management,salary,smart worker,no,no,Analytics
11,8,5,5,3,yes,no,no,r programming,data science,yes,yes,excellent,poor,data engineering,testing,job,Cloud Services,no,yes,Encyclopedias,Work,no,gentle,Management,salary,smart worker,no,no,Computer Science
5,3,4,4,1,yes,yes,yes,r programming,game development,yes,yes,medium,medium,data engineering,testing,job,BPA,yes,yes,Science fiction,Work,no,gentle,Management,salary,hard worker,no,no,Analytics
10,4,6,7,3,no,yes,no,app development,database security,no,no,poor,poor,hacking,security,higherstudies,Web Services,no,yes,Health,Work,no,gentle,Technical,work,hard worker,yes,no,Networking
6,8,2,3,8,yes,no,no,full stack,hacking,no,no,medium,medium,programming,developer,job,Sales and Marketing,no,yes,Journals,Work,yes,gentle,Technical,salary,smart worker,yes,yes,Design
6,1,0,7,6,yes,no,no,machine learning,game development,yes,yes,excellent,poor,Computer Architecture,testing,job,Product based,yes,no,Science,Work,no,stubborn,Technical,salary,smart worker,no,yes,Computer Science
10,8,0,6,4,no,yes,yes,machine learning,web technologies,no,yes,poor,medium,Computer Architecture,cloud computing,higherstudies,Finance,yes,no,Drama,Work,no,gentle,Management,salary,smart worker,yes,no,Networking
5,7,6,6,2,yes,no,yes,r programming,hacking,yes,no,medium,excellent,Computer Scienceing,security,higherstudies,product development,yes,yes,Autobiographies,salary,no,stubborn,Management,salary,hard worker,yes,no,Computer Science
9,2,1,6,9,no,yes,no,app development,web technologies,yes,no,poor,medium,Computer Architecture,testing,job,Testing and Maintainance Services,yes,no,Cookbooks,Work,yes,gentle,Management,salary,hard worker,no,no,Computer Science
6,5,3,2,7,no,no,no,r programming,web technologies,yes,no,excellent,poor,networks,cloud computing,higherstudies,Testing and Maintainance Services,no,no,Drama,Work,yes,stubborn,Technical,salary,smart worker,yes,no,Computer Science
4,7,1,7,1,no,no,yes,distro making,game development,yes,no,excellent,poor,parallel computing,cloud computing,higherstudies,BPA,yes,no,Guide,salary,no,gentle,Management,work,hard worker,no,yes,Information Technology
11,9,4,5,2,no,yes,no,python,database security,no,no,medium,excellent,hacking,cloud computing,job,SAaS services,no,yes,Travel,Work,yes,stubborn,Technical,salary,hard worker,yes,yes,Networking
7,4,4,3,8,no,yes,no,machine learning,database security,yes,no,excellent,poor,cloud computing,cloud computing,job,Testing and Maintainance Services,no,no,History,salary,yes,gentle,Technical,work,hard worker,no,yes,Networking
11,6,5,2,8,yes,no,yes,distro making,testing,no,yes,poor,poor,programming,security,higherstudies,SAaS services,yes,no,Series,Work,yes,gentle,Technical,salary,hard worker,no,yes,Database
10,3,6,7,8,yes,no,yes,python,data science,no,yes,medium,poor,cloud computing,developer,higherstudies,Finance,yes,yes,Religion-Spirituality,salary,no,gentle,Technical,work,smart worker,no,no,Networking
10,6,6,6,7,no,yes,no,full stack,hacking,yes,no,poor,medium,parallel computing,testing,job,Testing and Maintainance Services,yes,no,Anthology,Work,yes,gentle,Technical,work,hard worker,no,yes,Management
7,8,0,8,2,no,no,yes,python,game development,yes,yes,medium,excellent,Management,Business process analyst,higherstudies,BPA,no,no,Journals,Work,no,gentle,Management,work,hard worker,no,no,Computer Science
7,7,0,9,4,yes,yes,yes,app development,database security,yes,yes,medium,excellent,IOT,security,higherstudies,Cloud Services,yes,yes,Science,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Management
6,9,4,2,7,no,yes,no,hadoop,hacking,yes,no,medium,excellent,Computer Architecture,developer,higherstudies,Finance,yes,no,Poetry,salary,no,gentle,Technical,salary,smart worker,yes,no,Networking
5,1,0,6,9,yes,no,no,shell programming,hacking,no,yes,poor,excellent,parallel computing,security,higherstudies,product development,no,no,Math,salary,no,stubborn,Technical,work,hard worker,yes,no,Information Technology
5,6,1,8,1,yes,no,no,r programming,hacking,no,yes,excellent,poor,IOT,Business process analyst,job,Product based,no,yes,Encyclopedias,salary,no,gentle,Technical,work,smart worker,yes,no,Computer Science
10,8,2,6,6,yes,yes,no,app development,data science,yes,no,medium,poor,networks,testing,higherstudies,Finance,no,no,Poetry,Work,no,gentle,Management,salary,smart worker,yes,yes,Networking
5,1,6,9,4,no,no,yes,shell programming,cloud computing,yes,yes,poor,poor,Management,developer,job,BPA,no,yes,Health,salary,no,gentle,Management,salary,hard worker,yes,yes,Information Technology
11,5,4,8,4,yes,yes,no,python,testing,no,no,excellent,medium,networks,developer,higherstudies,Cloud Services,yes,no,Biographies,Work,no,gentle,Technical,work,smart worker,yes,yes,Computer Science
9,5,3,8,5,yes,no,no,hadoop,game development,yes,yes,medium,poor,data engineering,Business process analyst,higherstudies,Cloud Services,no,no,Comics,salary,no,stubborn,Management,work,hard worker,no,yes,Analytics
5,7,3,4,8,no,no,no,r programming,hacking,yes,no,poor,poor,Management,Business process analyst,higherstudies,product development,yes,no,Childrens,salary,no,stubborn,Management,work,hard worker,no,no,Computer Science
5,6,1,9,3,no,yes,no,python,testing,yes,no,medium,medium,IOT,testing,job,Sales and Marketing,yes,no,Autobiographies,Work,no,gentle,Technical,salary,hard worker,no,yes,Information Technology
10,9,4,6,9,yes,no,no,full stack,web technologies,no,yes,poor,medium,Computer Scienceing,security,higherstudies,Service Based,yes,yes,Comics,salary,yes,gentle,Technical,salary,hard worker,yes,yes,Analytics
5,8,6,8,2,yes,no,yes,full stack,cloud computing,yes,no,excellent,poor,Management,system developer,higherstudies,product development,yes,no,Mystery,Work,yes,gentle,Management,salary,smart worker,yes,no,Computer Science
8,9,5,2,1,no,no,no,full stack,database security,no,no,medium,medium,programming,system developer,job,Service Based,no,no,Anthology,salary,no,stubborn,Technical,salary,smart worker,no,yes,Analytics
7,9,6,5,9,yes,no,yes,full stack,cloud computing,yes,no,poor,medium,data engineering,testing,higherstudies,SAaS services,yes,yes,Self help,Work,yes,stubborn,Technical,salary,hard worker,no,no,Analytics
6,8,6,2,4,yes,yes,no,python,testing,yes,no,medium,medium,Computer Architecture,security,job,Product based,yes,yes,Romance,Work,yes,gentle,Technical,salary,hard worker,yes,yes,Computer Science
12,5,1,5,9,yes,yes,yes,python,game development,yes,yes,excellent,poor,Computer Scienceing,Business process analyst,higherstudies,Product based,no,no,Autobiographies,Work,yes,gentle,Technical,work,smart worker,no,no,Database
8,3,5,4,1,yes,yes,no,python,game development,yes,yes,excellent,medium,Computer Scienceing,Business process analyst,job,Service Based,no,no,Guide,salary,yes,gentle,Management,salary,hard worker,yes,yes,Database
6,1,0,5,6,yes,yes,no,r programming,game development,no,yes,poor,excellent,networks,cloud computing,job,BPA,yes,yes,Religion-Spirituality,Work,no,stubborn,Management,work,hard worker,no,yes,Computer Science
6,2,2,1,7,yes,yes,yes,app development,data science,no,yes,excellent,medium,data engineering,security,higherstudies,Web Services,yes,yes,History,salary,no,stubborn,Technical,work,smart worker,yes,yes,Computer Science
11,6,6,9,9,no,yes,yes,python,cloud computing,yes,no,poor,medium,Computer Scienceing,developer,higherstudies,Finance,yes,no,Guide,Work,yes,stubborn,Management,salary,smart worker,yes,no,Database
5,5,5,6,9,yes,no,yes,hadoop,cloud computing,no,yes,excellent,poor,programming,security,higherstudies,Web Services,no,no,Comics,salary,no,gentle,Management,salary,smart worker,no,no,Analytics
9,7,2,8,3,no,no,yes,python,cloud computing,no,yes,medium,poor,hacking,Business process analyst,higherstudies,Web Services,no,yes,Journals,Work,yes,stubborn,Management,salary,hard worker,yes,yes,Analytics
10,1,0,5,6,no,no,no,information security,system designing,no,no,medium,medium,cloud computing,Business process analyst,job,product development,yes,yes,Satire,Work,no,gentle,Technical,salary,smart worker,no,yes,Networking
4,7,1,9,7,yes,yes,no,r programming,testing,yes,yes,poor,excellent,IOT,developer,job,Finance,yes,no,Self help,Work,no,gentle,Management,salary,smart worker,yes,no,Computer Science
7,5,4,9,3,no,yes,no,app development,game development,yes,yes,excellent,medium,hacking,developer,job,Testing and Maintainance Services,no,no,Fantasy,Work,yes,stubborn,Management,work,hard worker,no,no,Computer Science
4,6,0,4,2,no,yes,no,shell programming,testing,no,no,poor,poor,Computer Scienceing,Business process analyst,higherstudies,SAaS services,no,yes,Romance,Work,yes,stubborn,Technical,work,hard worker,yes,no,Computer Science
5,7,6,6,8,yes,no,no,r programming,data science,yes,yes,medium,poor,parallel computing,security,job,Service Based,no,yes,Horror,Work,no,gentle,Technical,salary,smart worker,yes,yes,Networking
9,7,1,7,8,no,yes,no,shell programming,hacking,no,no,medium,excellent,Computer Architecture,system developer,higherstudies,Testing and Maintainance Services,no,no,Anthology,salary,yes,stubborn,Management,salary,hard worker,no,yes,Computer Science
10,9,2,4,6,yes,no,no,shell programming,testing,no,no,medium,excellent,data engineering,testing,higherstudies,Service Based,yes,no,Diaries,salary,no,gentle,Technical,salary,smart worker,yes,no,Computer Science
6,1,0,1,4,yes,no,no,machine learning,web technologies,yes,no,poor,excellent,hacking,developer,job,Product based,no,no,Science fiction,salary,yes,stubborn,Technical,salary,hard worker,no,no,Information Technology
10,1,5,2,4,no,yes,no,shell programming,hacking,yes,yes,medium,medium,hacking,Business process analyst,higherstudies,Web Services,no,no,Horror,salary,no,stubborn,Technical,salary,smart worker,yes,no,Analytics
4,4,2,9,5,no,yes,no,python,testing,yes,yes,poor,excellent,cloud computing,cloud computing,job,Web Services,yes,yes,Biographies,salary,yes,gentle,Management,work,smart worker,no,no,Analytics
5,1,2,2,8,yes,no,no,r programming,hacking,no,no,medium,medium,cloud computing,security,job,Product based,no,no,Action and Adventure,Work,no,gentle,Technical,salary,smart worker,no,no,Computer Science
12,2,6,5,2,yes,yes,no,distro making,testing,no,no,poor,excellent,Management,testing,job,Service Based,no,yes,Drama,Work,no,stubborn,Management,salary,hard worker,no,no,Analytics
11,5,4,5,9,yes,no,yes,shell programming,system designing,no,yes,poor,medium,Computer Architecture,system developer,higherstudies,Testing and Maintainance Services,yes,yes,Autobiographies,Work,no,stubborn,Management,work,smart worker,yes,yes,Computer Science
7,3,2,9,4,no,yes,no,app development,database security,no,yes,medium,medium,cloud computing,cloud computing,job,SAaS services,no,yes,Biographies,Work,no,gentle,Technical,work,hard worker,no,yes,Analytics
10,5,2,1,9,no,no,yes,app development,testing,no,no,poor,poor,data engineering,Business process analyst,higherstudies,SAaS services,no,yes,Prayer books,Work,no,gentle,Technical,work,hard worker,yes,yes,Analytics
5,6,6,6,3,no,yes,yes,r programming,cloud computing,yes,yes,excellent,medium,programming,security,higherstudies,product development,no,no,Self help,salary,no,gentle,Technical,work,hard worker,yes,yes,Networking
10,9,0,4,2,yes,yes,yes,shell programming,testing,yes,yes,poor,poor,hacking,cloud computing,higherstudies,Testing and Maintainance Services,no,yes,Autobiographies,Work,no,stubborn,Technical,work,smart worker,no,no,Computer Science
12,4,0,8,7,yes,no,no,machine learning,hacking,yes,yes,poor,poor,programming,Business process analyst,higherstudies,SAaS services,yes,yes,Prayer books,salary,yes,stubborn,Management,work,smart worker,no,yes,Management
10,6,4,6,3,no,no,no,shell programming,database security,yes,yes,medium,excellent,Computer Architecture,system developer,higherstudies,Cloud Services,no,yes,Comics,salary,no,stubborn,Technical,work,hard worker,yes,yes,Information Technology
4,5,4,4,9,yes,yes,no,machine learning,system designing,yes,yes,excellent,poor,hacking,developer,higherstudies,Service Based,no,yes,Guide,salary,yes,gentle,Technical,salary,smart worker,no,no,Networking
12,4,6,4,5,yes,no,yes,app development,testing,no,no,excellent,medium,data engineering,cloud computing,higherstudies,Web Services,no,yes,Biographies,salary,yes,stubborn,Technical,work,smart worker,yes,no,Management
7,8,4,2,3,no,yes,no,hadoop,web technologies,yes,no,poor,medium,data engineering,system developer,job,Product based,no,yes,Comics,Work,yes,stubborn,Management,salary,hard worker,yes,no,Computer Science
5,2,0,7,1,no,yes,yes,python,web technologies,no,no,poor,medium,networks,developer,higherstudies,SAaS services,yes,no,Action and Adventure,Work,yes,gentle,Management,salary,smart worker,yes,no,Networking
9,3,6,5,6,no,yes,no,python,system designing,yes,yes,poor,poor,hacking,security,higherstudies,SAaS services,no,no,Math,salary,no,gentle,Technical,work,smart worker,yes,yes,Computer Science
12,7,6,3,7,no,no,yes,full stack,hacking,yes,yes,poor,excellent,Computer Architecture,developer,higherstudies,Web Services,no,yes,Religion-Spirituality,Work,no,stubborn,Technical,salary,smart worker,no,no,Computer Science
5,9,0,4,1,yes,no,yes,full stack,cloud computing,yes,yes,excellent,medium,Computer Architecture,Business process analyst,job,BPA,no,yes,Health,salary,no,stubborn,Management,work,smart worker,no,yes,Analytics
8,6,1,1,5,no,no,yes,shell programming,testing,no,yes,excellent,excellent,data engineering,system developer,higherstudies,Service Based,no,yes,Childrens,salary,yes,gentle,Management,work,smart worker,yes,yes,Computer Science
12,6,4,7,7,no,no,yes,shell programming,web technologies,yes,no,medium,poor,hacking,Business process analyst,job,SAaS services,yes,no,Self help,salary,no,stubborn,Technical,work,smart worker,yes,yes,Computer Science
9,7,2,4,8,yes,yes,yes,python,testing,no,no,excellent,poor,data engineering,system developer,higherstudies,Cloud Services,yes,yes,Horror,salary,yes,gentle,Technical,salary,smart worker,yes,no,Networking
10,3,2,4,4,yes,yes,yes,hadoop,cloud computing,yes,no,poor,excellent,Computer Architecture,system developer,higherstudies,Finance,no,no,Comics,salary,yes,stubborn,Management,work,hard worker,yes,yes,Networking
8,4,6,8,1,yes,no,yes,full stack,data science,no,yes,poor,medium,networks,testing,higherstudies,Cloud Services,yes,no,Horror,salary,yes,stubborn,Technical,work,smart worker,no,yes,Information Technology
7,6,4,2,5,no,yes,no,r programming,system designing,yes,yes,medium,medium,cloud computing,system developer,job,Service Based,no,no,Drama,salary,yes,gentle,Technical,salary,hard worker,yes,yes,Database
6,3,2,6,1,no,yes,no,information security,database security,no,yes,excellent,excellent,cloud computing,system developer,job,Cloud Services,no,yes,Series,Work,no,stubborn,Technical,salary,smart worker,yes,no,Database
10,4,1,1,3,yes,yes,no,shell programming,testing,no,yes,poor,poor,IOT,testing,higherstudies,Sales and Marketing,yes,no,Travel,Work,no,stubborn,Technical,work,hard worker,yes,yes,Design
